earnings,enrolled,distance_miles
42,0,4.6
35.1,0,0.68
48.3,1,3.01
43.4,0,3.44
22.7,0,3.75
40.8,1,3.3
42.5,0,0.4
33.4,0,5.44
29.2,0,7.68
47.6,0,8.73
45.3,0,4.29
26.8,0,1.55
54.3,1,1.12
44.2,0,3.23
34.2,0,2.57
34.2,0,5.33
33.3,0,5.59
48,0,9.46
55,1,5.55
39.2,1,1.27
48.8,0,0.25
52.6,0,8.61
48.9,1,1.44
42.1,0,5.36
29,0,7.01
43.2,0,1.49
31.9,0,2.78
43.4,0,5.62
67.7,1,0.61
27.4,0,6.57
46.1,0,6.77
29.3,0,8.84
55.4,1,4.79
40.2,0,2.06
30.2,0,9
48,1,6.83
47.3,1,1
43.6,0,1.47
38.1,0,9.93
34.9,0,8.58
47.5,0,2.81
26.7,0,8.97
44.7,1,4.75
26.9,0,8.97
35.9,0,5.65
32.9,0,1.3
43.2,1,4.18
46.7,0,9.33
47.5,0,2.26
42.7,0,7.55
31.5,1,2.96
41.4,0,4.99
62,1,0.68
47.4,0,4.95
45.2,0,3.48
40.2,1,5.38
49.4,0,3.9
35.2,0,7.74
32.7,0,3.6
38,1,0.51
59.7,1,4.07
51.2,1,8.4
37.1,0,6.59
39.5,0,1.24
33.6,0,8.21
60.1,1,2.71
40.4,0,8.25
53.4,1,1.56
49.2,1,4.06
31.9,0,2.71
34.5,0,4.55
45.2,0,7.13
31.6,0,9.64
51.8,1,1.14
43.8,0,9.39
55.7,1,3.75
55,0,3.6
35.2,0,4.95
46.8,0,5.71
30,0,6.53
24.8,0,0.34
50.3,0,8.69
56,1,1.85
35.4,0,8.24
35.1,0,4.73
42.2,0,4.3
42.9,0,8.23
50.4,1,0.23
31.1,0,5.45
32,0,7.15
45.7,0,0.15
20,0,1.5
55.3,0,1.37
54.2,0,1.12
33,0,9.67
35.2,0,1.75
35.1,0,0.83
34.3,0,3.12
34.5,0,9.73
56.6,1,3.89
22.3,0,1.36
