person_id,tenure_years,prior_score,age,remote,enrolled,assessment
P001,16.4,76,34,1,1,105
P002,8.6,67,48,1,0,84
P003,14,73,37,0,0,99
P004,11.9,57,33,1,0,99
P005,17.8,75,32,1,1,105
P006,1.6,83,29,0,0,90
P007,5.9,58,42,1,0,97
P008,5.8,79,44,1,0,92
P009,7,74,27,0,0,101
P010,11.8,73,45,0,0,99
P011,3.7,64,44,0,0,93
P012,4.9,43,33,1,0,62
P013,1.6,79,36,1,0,98
P014,6.9,78,33,0,0,95
P015,2,70,42,0,0,94
P016,1.5,51,43,0,0,91
P017,7.1,69,47,1,1,90
P018,15,50,49,0,0,85
P019,7.7,69,51,1,1,91
P020,8.7,76,33,0,0,94
P021,3.6,80,53,0,1,88
P022,3.5,86,31,0,0,109
P023,1.3,74,35,0,0,92
P024,2.6,81,47,0,0,103
P025,2.4,47,44,0,0,86
P026,8.7,63,38,0,0,92
P027,4.3,66,29,0,0,88
P028,4,75,50,1,0,88
P029,9.1,59,25,1,0,93
P030,8.8,70,46,1,0,95
P031,11.9,81,45,1,0,91
P032,4,67,37,1,0,84
P033,7,77,49,1,0,85
P034,4.8,88,29,0,0,97
P035,8.4,73,48,0,1,88
P036,6.8,58,26,0,1,95
P037,0.9,73,49,0,0,94
P038,5.5,71,51,1,0,85
P039,9.3,69,47,1,0,88
P040,9.8,62,43,1,1,95
P041,3.6,88,32,1,1,117
P042,1,55,23,0,0,89
P043,6.8,58,46,0,0,77
P044,1.3,86,30,1,0,96
P045,15.3,75,49,1,0,95
P046,3.3,73,48,0,0,100
P047,0.4,57,45,1,0,86
P048,7,70,44,0,0,87
P049,13.2,63,46,1,1,101
P050,3.8,58,35,1,0,93
P051,2.2,81,24,1,0,93
P052,5.8,42,44,0,0,70
P053,10.9,66,48,0,0,104
P054,4.1,81,47,0,1,104
P055,1.5,68,20,1,0,94
P056,2.1,68,52,1,0,84
P057,8,54,51,0,1,80
P058,11.5,63,34,0,0,94
P059,2.6,78,34,1,0,92
P060,2.1,69,45,0,0,95
P061,8.2,70,27,1,0,94
P062,7.4,68,36,1,1,99
P063,2.1,74,46,1,0,91
P064,1.6,38,35,0,0,67
P065,2.8,85,42,0,0,102
P066,3.3,78,31,1,1,94
P067,2.2,65,39,0,1,92
P068,7.2,71,45,1,0,99
P069,13.9,76,35,0,1,95
P070,3.6,77,32,1,0,92
P071,6.9,74,37,0,0,89
P072,9,59,44,0,1,93
P073,3.2,56,53,1,0,74
P074,17.3,59,27,0,1,91
P075,4.7,73,43,0,0,103
P076,1.8,46,48,1,0,68
P077,6.5,59,33,0,0,81
P078,8.5,62,36,0,0,95
