confidence,attended
64.4,1
48,0
55.1,0
74.4,1
66.3,1
64.8,0
85.6,1
40,1
66.9,0
55.1,1
51.1,0
85.3,1
76.4,1
88.3,1
47.9,0
81.3,0
64.3,1
47.5,0
38.8,0
42,0
65.5,1
64,0
82.2,1
61.5,0
70.7,0
76.9,1
79.9,1
78.2,1
63.6,0
51.6,0
58,0
72.7,1
77.3,1
66.3,1
63.2,1
46.7,1
58.9,0
67.1,0
43.6,0
58.5,0
60.8,1
57.5,0
70.7,0
63.7,1
60.2,1
55.4,1
76.6,1
69.7,0
60.3,0
48.8,0
56.6,0
70.5,1
60.7,1
62.7,1
62.7,0
60.3,1
71.6,0
79.5,1
66.2,0
93.3,1
72.3,0
73.1,1
70.6,1
78.8,1
62.5,1
53,1
72,1
69.6,1
67.5,1
52.1,1
48.3,1
65.1,0
52.2,0
60.2,0
55.2,1
73.8,1
74.8,0
48,0
81.2,1
59.9,0
63.2,1
48.1,0
60.1,0
75.7,0
54.4,0
72.1,0
47.1,0
44.4,0
85.3,1
60,1
79.1,0
65,1
69.7,1
76.7,0
66.8,1
62.2,0
55.6,0
48.2,0
69.1,0
74.2,0
51.8,0
61.5,1
54.7,1
73.9,0
50.5,0
50.7,1
61.6,0
85.6,1
69.5,1
64.2,0
82.6,1
69.2,1
47.8,0
87.2,0
67.8,0
61.1,0
56.2,1
59.2,0
82.9,1
63.1,1
61.8,0
72.4,1
69.4,0
62.9,0
67.7,0
64,0
77.4,0
63.9,1
65,1
58.3,0
78.3,1
60.6,0
71.5,0
53.7,0
67.4,0
67.7,0
79,0
55.1,0
57.7,1
52.7,0
74.6,0
53.1,1
67.5,1
78.8,1
59.2,1
38.1,0
75.9,0
96.5,1
83.8,1
42.8,0
61.7,0
61.9,1
58.2,1
42.2,1
82.5,0
66.5,1
89.5,0
57.8,0
68.4,0
43.1,0
70.4,0
61,0
79.4,1
57.8,0
51.1,1
40.7,1
74.2,1
80.1,1
61.6,0
76.3,0
95.1,0
80,0
64.9,1
60.2,0
40.9,0
61.4,0
65.4,1
58.3,0
45.9,0
81.7,1
88.7,1
64.5,1
65.8,1
62.4,1
55,1
69.1,1
67,1
64.5,0
76.2,1
88.4,1
66.8,1
49.8,1
66.6,0
80.2,0
43.3,0
79.9,1
62.8,1
66.8,0
59.3,1
44.4,1
