entrance_score,scholarship,gpa_next_year
100,1,2.39
62.5,1,2.32
76.1,1,2.54
68.6,1,2.32
59.2,0,1.21
66.1,1,1.85
70.8,1,2.59
78.9,1,2.43
59.5,0,1.37
52,0,1
53.8,0,1.42
64.8,1,2.14
74.7,1,2.08
56.4,0,1.33
67.4,1,2.36
76.1,1,1.89
36.5,0,1.22
73.3,1,2.21
51.1,0,1.48
52.4,0,1.73
45.6,0,1.31
92.6,1,2.73
67.2,1,2.11
60.5,1,1.92
47.4,0,1.57
82,1,2.59
46.9,0,1.89
54.3,0,1.59
67.3,1,2.1
50.6,0,1.27
80.3,1,2.22
82.7,1,2.39
58.8,0,1.83
46.5,0,0.81
46.1,0,1.25
48.3,0,1.45
70.4,1,2.44
57.7,0,2.18
46.1,0,1.88
66.4,1,1.98
63.8,1,2
57.6,0,1.96
47.5,0,1.07
73.7,1,1.97
51.3,0,1.42
53,0,1.61
65.5,1,1.76
41.1,0,1.29
41.9,0,1.6
63.5,1,2.21
68.5,1,2.55
78.4,1,1.93
59.3,0,2
48.7,0,0.81
54.4,0,0.99
67.2,1,1.64
75.6,1,2.32
81.7,1,2.34
67,1,2.42
46.7,0,1.77
41,0,1.41
59,0,1.46
70.6,1,2.25
64.2,1,1.8
36.5,0,1.28
46.1,0,0.83
29.5,0,1.22
54,0,1.66
55.1,0,1.27
65.1,1,2.15
61.2,1,1.81
52.5,0,1.14
61.4,1,2.44
62.1,1,2.35
59.9,0,1.41
85.9,1,2.35
50.5,0,1.13
64,1,1.43
71.7,1,2.25
68.3,1,2.05
40.8,0,0.99
40.5,0,1.57
59.2,0,1.77
50.4,0,1.54
79,1,2.11
71.8,1,3.09
63.8,1,1.89
81.3,1,1.73
53.9,0,1.55
71.4,1,2.56
36.9,0,0.96
58.5,0,1.69
37.9,0,1.06
70.3,1,1.91
79.7,1,2.47
48.6,0,1.03
84.3,1,2.52
55.7,0,1.06
61.4,1,2.36
81.3,1,2.38
56.7,0,1.63
60.5,1,2.58
38,0,0.39
67.5,1,2.14
68.1,1,2.22
74.8,1,2.4
62.3,1,2.59
46.8,0,0.97
49.2,0,1.4
76.9,1,2.1
67,1,1.85
57.4,0,1.76
61.3,1,2.05
82.7,1,2.6
26.8,0,0.93
64.1,1,2.53
78.5,1,2.99
44.9,0,1.25
40.6,0,1.02
57.9,0,1.42
37.7,0,0.93
59.7,0,1.37
77,1,2.85
62.9,1,1.95
59.8,0,2.04
74.2,1,1.91
72.1,1,1.87
50.7,0,1.53
70.2,1,2.57
62.2,1,2.03
82.6,1,2.16
62.2,1,1.87
61.7,1,2.2
88.1,1,2.01
65.6,1,1.77
57.8,0,1.4
70.9,1,2.39
89.3,1,2.23
49.1,0,1.96
90.1,1,2.98
60,1,1.52
64.8,1,1.66
71.2,1,2.41
53.8,0,0.85
52,0,1
81.7,1,2.14
48.8,0,1.15
42.8,0,1.62
71,1,2.94
26.1,0,0.94
39.2,0,1.76
38,0,0.87
82.5,1,1.95
67.8,1,2.09
65.1,1,2.05
48.5,0,0.66
77.5,1,2.53
61.9,1,2.35
55.4,0,1.71
58.9,0,1.11
51.8,0,1.48
50.1,0,0.94
70.1,1,2.48
62.9,1,2.36
73,1,2.4
72.1,1,2.04
