site_id,month,adopts,wait_minutes
Clinic 01,1,1,37.3
Clinic 01,2,1,40.8
Clinic 01,3,1,44.1
Clinic 01,4,1,43.7
Clinic 01,5,1,37.6
Clinic 01,6,1,37.6
Clinic 01,7,1,35.9
Clinic 01,8,1,39.3
Clinic 01,9,1,35.7
Clinic 01,10,1,36
Clinic 01,11,1,35.8
Clinic 01,12,1,38
Clinic 01,13,1,35.2
Clinic 01,14,1,38.7
Clinic 01,15,1,33.2
Clinic 01,16,1,37.3
Clinic 01,17,1,37.1
Clinic 01,18,1,35.8
Clinic 01,19,1,30.3
Clinic 01,20,1,28.4
Clinic 01,21,1,32.2
Clinic 01,22,1,27.9
Clinic 01,23,1,31.3
Clinic 01,24,1,34.2
Clinic 02,1,1,44.9
Clinic 02,2,1,44
Clinic 02,3,1,48
Clinic 02,4,1,45.6
Clinic 02,5,1,40.3
Clinic 02,6,1,43
Clinic 02,7,1,40.3
Clinic 02,8,1,40
Clinic 02,9,1,37.9
Clinic 02,10,1,40.3
Clinic 02,11,1,43.2
Clinic 02,12,1,41.1
Clinic 02,13,1,39.4
Clinic 02,14,1,40.3
Clinic 02,15,1,40.5
Clinic 02,16,1,40.9
Clinic 02,17,1,40.3
Clinic 02,18,1,38.8
Clinic 02,19,1,38.9
Clinic 02,20,1,36.5
Clinic 02,21,1,34.7
Clinic 02,22,1,31.7
Clinic 02,23,1,36.7
Clinic 02,24,1,35.5
Clinic 03,1,1,54.4
Clinic 03,2,1,48.5
Clinic 03,3,1,47.9
Clinic 03,4,1,50.3
Clinic 03,5,1,52
Clinic 03,6,1,47.1
Clinic 03,7,1,46.4
Clinic 03,8,1,43.5
Clinic 03,9,1,43.2
Clinic 03,10,1,44.2
Clinic 03,11,1,50.2
Clinic 03,12,1,46.8
Clinic 03,13,1,47.5
Clinic 03,14,1,49.7
Clinic 03,15,1,45.7
Clinic 03,16,1,42.2
Clinic 03,17,1,42.5
Clinic 03,18,1,41.1
Clinic 03,19,1,40.3
Clinic 03,20,1,39.8
Clinic 03,21,1,40
Clinic 03,22,1,42.1
Clinic 03,23,1,36.4
Clinic 03,24,1,41.6
Clinic 04,1,1,46.3
Clinic 04,2,1,47.2
Clinic 04,3,1,49.5
Clinic 04,4,1,53.1
Clinic 04,5,1,48.4
Clinic 04,6,1,48.3
Clinic 04,7,1,44.1
Clinic 04,8,1,40.1
Clinic 04,9,1,44.8
Clinic 04,10,1,42.8
Clinic 04,11,1,48
Clinic 04,12,1,47.6
Clinic 04,13,1,44.3
Clinic 04,14,1,42.6
Clinic 04,15,1,46.7
Clinic 04,16,1,40.9
Clinic 04,17,1,42.9
Clinic 04,18,1,42.3
Clinic 04,19,1,42.1
Clinic 04,20,1,41.9
Clinic 04,21,1,39.9
Clinic 04,22,1,40
Clinic 04,23,1,42.5
Clinic 04,24,1,44.4
Clinic 05,1,1,49.1
Clinic 05,2,1,47.7
Clinic 05,3,1,46.9
Clinic 05,4,1,47.5
Clinic 05,5,1,51.6
Clinic 05,6,1,43.3
Clinic 05,7,1,42.9
Clinic 05,8,1,42.2
Clinic 05,9,1,44.1
Clinic 05,10,1,44.7
Clinic 05,11,1,46.4
Clinic 05,12,1,48.3
Clinic 05,13,1,50
Clinic 05,14,1,43
Clinic 05,15,1,42.8
Clinic 05,16,1,45
Clinic 05,17,1,42
Clinic 05,18,1,43.2
Clinic 05,19,1,42
Clinic 05,20,1,37.6
Clinic 05,21,1,35.4
Clinic 05,22,1,38.3
Clinic 05,23,1,42
Clinic 05,24,1,44.2
Clinic 06,1,1,50.3
Clinic 06,2,1,50.2
Clinic 06,3,1,50.8
Clinic 06,4,1,49
Clinic 06,5,1,48.6
Clinic 06,6,1,49.5
Clinic 06,7,1,45.6
Clinic 06,8,1,40.6
Clinic 06,9,1,40.8
Clinic 06,10,1,40.2
Clinic 06,11,1,42.6
Clinic 06,12,1,44.3
Clinic 06,13,1,42.1
Clinic 06,14,1,44.8
Clinic 06,15,1,41.6
Clinic 06,16,1,41.1
Clinic 06,17,1,40.4
Clinic 06,18,1,40
Clinic 06,19,1,33.1
Clinic 06,20,1,37.1
Clinic 06,21,1,36
Clinic 06,22,1,36.8
Clinic 06,23,1,42
Clinic 06,24,1,39
Clinic 07,1,1,44.4
Clinic 07,2,1,40
Clinic 07,3,1,44.3
Clinic 07,4,1,46.3
Clinic 07,5,1,39.5
Clinic 07,6,1,44.2
Clinic 07,7,1,36
Clinic 07,8,1,40.7
Clinic 07,9,1,38.9
Clinic 07,10,1,38.3
Clinic 07,11,1,36.2
Clinic 07,12,1,40.7
Clinic 07,13,1,39.2
Clinic 07,14,1,35.1
Clinic 07,15,1,36.5
Clinic 07,16,1,35.8
Clinic 07,17,1,37.5
Clinic 07,18,1,33.3
Clinic 07,19,1,34.2
Clinic 07,20,1,31.1
Clinic 07,21,1,31.8
Clinic 07,22,1,26.5
Clinic 07,23,1,31.3
